Police_Station,Date_Time,Date,Time,Location,Loc_Id,ACT-379-380_454_457,ACT-294_506,Latitude,Longitude
Amanaka,21.01.2019 15:00,21-01-19,15:00,House,2,1,0,21.261955,81.582385
Amanaka,24.01.2019 14:00,24-01-19,14:00,Street,5,1,0,21.257622,81.560987
Amanaka,11.02.2019 19:00,11-02-19,19:00,Street,5,1,0,21.254403,81.569533
Amanaka,16.02.2019 02:00,16-02-19,2:00,Office,3,1,0,21.298258,81.56662
Amanaka,24.02.2019 03:00,24-02-19,3:00,House,2,1,0,21.256804,81.581513
Amanaka,06.03.2019 00:30,06-03-19,0:30,Street,5,1,0,21.268228,81.576769
Amanaka,24.03.2019 19:00,24-03-19,19:00,Office,3,1,0,21.267036,81.558458
Amanaka,04.04.2019 00:05,04-04-19,0:05,House,2,1,0,21.261979,81.582406
Amanaka,12.04.2019 18:15,12-04-19,18:15,Street,5,1,0,21.261773,81.586216
Amanaka,28.04.2019 19:10,28-04-19,19:10,Street,5,1,0,21.258072,81.587343
Amanaka,24.05.2019 02:00,24-05-19,2:00,House,2,1,0,21.250696,81.564426
Amanaka,21.06.2019 21:45,21-06-19,21:45,Street,5,1,0,21.25341,81.54943
Amanaka,04.07.2019 14:00,04-07-19,14:00,House,2,1,0,21.245244,81.579989
Amanaka,07.07.2019 16:00,07-07-19,16:00,Hospital ,1,1,0,21.257632,81.577476
Amanaka,14.07.2019 20:00,14-07-19,20:00,Street,5,1,0,21.259604,81.575841
Amanaka,16.06.2019 21:45,16-06-19,21:45,Street,5,1,0,21.260899,81.588526
Amanaka,30.05.2019 00:05,30-05-19,0:05,Street,5,1,0,21.24506,81.579729
Amanaka,19.07.2019 10:30,19-07-19,10:30,Street,5,1,0,21.243778,81.636258
Amanaka,28.07.2019 15:15,28-07-19,0:00,Street,5,1,0,21.259851,81.575894
Amanaka,02.08.2019 10:30,02-08-19,10:30,Street,5,1,0,21.260029,81.579725
Amanaka,06.08.2019 14:00,06-08-19,14:00,Hospital ,1,1,0,21.257406,81.577991
Amanaka,06.08.2019 02:00,06-08-19,2:00,House,2,1,0,21.292403,81.560987
Amanaka,13.08.2019 14:00,13-08-19,14:00,Street,5,1,0,21.262019,81.588389
Amanaka,10.08.2019 15:00,10-08-19,15:00,Hospital ,1,1,0,21.257406,81.577991
Amanaka,19.08.2019 02:00,19-08-19,0:00,House,2,1,0,21.246122,81.581479
Amanaka,30.08.2019 15:00,30-08-19,15:00,Street,5,1,0,21.254369,81.569544
Amanaka,11.09.2019 09:20,11-09-19,9:20,Street,5,1,0,21.266671,81.580893
Amanaka,12.09.2019 22:00,12-09-19,22:00,Hospital ,1,1,0,21.257406,81.577991
Amanaka,25.09.2019 15:00,25-09-19,15:00,Hospital ,1,1,0,21.257406,81.577991
Amanaka,27.09.2019 15:40,27-09-19,15:40,Shop,4,1,0,21.25839,81.586798
Amanaka,30.09.2019 14:30,30-09-19,14:00,Hospital ,1,1,0,21.257406,81.577991
Amanaka,02.10.2019 14:00,02-10-19,14:00,Hospital ,1,1,0,21.257406,81.577991
Amanaka,12.10.2019 10:30,12-10-19,10:30,Hospital ,1,1,0,21.257406,81.577991
Amanaka,22.10.2019 02:00,22-10-19,2:00,Hospital ,1,1,0,21.257406,81.577991
Amanaka,03.11.2019 06:00,03-11-19,6:00,Street,5,1,0,21.273465,81.582215
Amanaka,07.11.2019 19:30,07-11-19,19:30,Street,5,1,0,21.253672,81.587199
Amanaka,25.11.2019 21:00,25-11-19,21:00,Hospital ,1,1,0,21.257406,81.577991
Amanaka,03.06.2019  20:00,03-06-19,20:00,Street,5,0,1,21.253248,81.54638
Amanaka,04.06.2019 22:00,04-06-19,22:00,Shop,4,0,1,21.263427,81.570182
Amanaka,07.06.2019 17:00,07-06-19,17:00,Shop,4,0,1,21.25731,81.565675
Amanaka,07.06.2019 23:30,07-06-19,23:30,House,2,0,1,21.237696,81.660332
Amanaka,21.06.2019 10:00,21-06-19,10:00,House,2,0,1,21.258053,81.587688
